solx.02.dlnVp.invSAo**  225.75
  170.70   37.94  -0.1248E-09
  171.00   38.49  -0.7979E-10
  171.30   39.04   0.1619E-10
  171.61   39.60   0.1193E-11
  171.93   40.16  -0.3220E-11
  172.26   40.72   0.1209E-10
  172.59   41.29  -0.1134E-10
  172.93   41.86  -0.9151E-09
  173.28   42.43   0.1294E-08
  173.64   43.00   0.4585E-07
  174.01   43.58  -0.3105E-07
  174.39   44.15  -0.1394E-05
  174.77   44.74  -0.1156E-05
  175.17   45.32   0.1774E-04
  175.58   45.91   0.6867E-04
  176.00   46.50   0.1837E-03
  176.44   47.09  -0.4548E-03
  149.73  -20.87  -0.2797E-02
  149.97  -20.24  -0.4369E-03
  150.20  -19.61   0.8513E-03
  150.43  -18.99   0.6127E-03
  150.66  -18.37   0.1376E-03
  150.88  -17.75  -0.5027E-04
  151.10  -17.14  -0.2214E-04
  151.32  -16.53   0.3753E-05
  151.53  -15.92   0.9931E-05
  151.75  -15.32  -0.1437E-04
  151.95  -14.73  -0.1382E-03
  152.16  -14.13  -0.6785E-04
  152.37  -13.54   0.4381E-03
  152.57  -12.96   0.5575E-03
  152.77  -12.38   0.3077E-02
  152.97  -11.80   0.6746E-02
  153.16  -11.22  -0.2696E-02
  153.36  -10.65  -0.1540E-01
  153.55  -10.08  -0.1692E-01
  153.74   -9.51  -0.2333E-01
  153.93   -8.95  -0.2493E-01
  154.11   -8.39   0.2509E-01
  154.30   -7.83   0.2249E-01
  154.48   -7.28  -0.6435E-01
  154.66   -6.73  -0.9950E-01
  154.85   -6.18  -0.1730E+00
  155.03   -5.63  -0.7025E-01
  155.20   -5.09   0.1238E+00
  155.38   -4.55   0.1676E+00
  155.56   -4.01   0.4536E-01
  155.73   -3.47  -0.1754E-01
  155.91   -2.94  -0.6584E-02
  156.08   -2.41   0.5477E-02
  156.25   -1.88   0.2569E-02
  156.43   -1.35  -0.2469E-03
  156.60   -0.82  -0.2644E-03
  156.77   -0.30  -0.2232E-04
  156.94    0.22   0.9953E-05
  157.11    0.74   0.2151E-05
  157.28    1.26  -0.1344E-06
  157.44    1.77  -0.5021E-07
  157.61    2.29   0.9637E-07
  157.78    2.80  -0.1223E-06
  157.95    3.31  -0.2285E-06
  158.11    3.82  -0.8567E-07
  158.28    4.33  -0.2178E-06
  158.44    4.83  -0.9266E-07
  158.61    5.34  -0.2528E-06
  158.78    5.84  -0.1187E-06
  158.94    6.35   0.1232E-06
  159.11    6.85   0.4196E-07
  159.27    7.35  -0.1554E-07
  159.44    7.85  -0.4833E-08
  159.61    8.35   0.8199E-09
  159.77    8.85   0.2892E-09
  159.94    9.35   0.5284E-09
  160.11    9.84  -0.4186E-09
  160.27   10.34  -0.2125E-07
  160.44   10.84  -0.3002E-07
  160.61   11.33   0.5103E-06
  160.78   11.83   0.1610E-05
  160.95   12.32  -0.5166E-05
  161.11   12.81  -0.2334E-04
  161.28   13.31   0.3017E-06
  161.46   13.80  -0.6432E-04
  161.63   14.30  -0.3941E-03
  161.80   14.79   0.1010E-02
  161.97   15.28   0.5324E-02
  162.15   15.78   0.8797E-02
  162.32   16.27   0.8176E-02
  162.50   16.77   0.3909E-02
  162.67   17.26   0.3505E-02
  162.85   17.75   0.4634E-02
  163.03   18.25   0.1225E-02
  163.21   18.74  -0.1001E-02
  163.39   19.24  -0.1194E-03
  163.58   19.74  -0.2509E-03
  163.76   20.23   0.2070E-04
  163.95   20.73  -0.8867E-03
  164.14   21.23  -0.1609E-02
  164.32   21.73  -0.6163E-03
  164.52   22.23   0.2848E-03
  164.71   22.73   0.2668E-03
  164.90   23.23   0.2535E-04
  165.10   23.74  -0.2622E-04
